accessionId,reportedTrait,discoverySampleAncestry,summaryStatistics,pubmedId,initialSampleDescription
GCST90032172,Absiella dolichum abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032172,35115689,"5,959 Finnish ancestry individuals"
GCST90032173,Acetobacteraceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032173,35115689,"5,959 Finnish ancestry individuals"
GCST90032174,Acetobacterales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032174,35115689,"5,959 Finnish ancestry individuals"
GCST90032175,Achromobacter abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032175,35115689,"5,959 Finnish ancestry individuals"
GCST90032176,Acidaminococcus fermentans abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032176,35115689,"5,959 Finnish ancestry individuals"
GCST90032177,Acidaminococcus sp900315205 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032177,35115689,"5,959 Finnish ancestry individuals"
GCST90032178,Acidobacteriales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032178,35115689,"5,959 Finnish ancestry individuals"
GCST90032179,Actinobacteria abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032179,35115689,"5,959 Finnish ancestry individuals"
GCST90032180,Actinobacteriota abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032180,35115689,"5,959 Finnish ancestry individuals"
GCST90032181,Actinomycetales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032181,35115689,"5,959 Finnish ancestry individuals"
GCST90032182,Agathobacter sp000434275 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032182,35115689,"5,959 Finnish ancestry individuals"
GCST90032183,Akkermansia muciniphila B abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032183,35115689,"5,959 Finnish ancestry individuals"
GCST90032184,Aliivibrio abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032184,35115689,"5,959 Finnish ancestry individuals"
GCST90032185,Alistipes shahii abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032185,35115689,"5,959 Finnish ancestry individuals"
GCST90032186,Alistipes abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032186,35115689,"5,959 Finnish ancestry individuals"
GCST90032187,Alloprevotella abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032187,35115689,"5,959 Finnish ancestry individuals"
GCST90032188,Alteromonadaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032188,35115689,"5,959 Finnish ancestry individuals"
GCST90032189,An181 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032189,35115689,"5,959 Finnish ancestry individuals"
GCST90032190,An7 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032190,35115689,"5,959 Finnish ancestry individuals"
GCST90032191,Anaeromassilibacillus sp001305115 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032191,35115689,"5,959 Finnish ancestry individuals"
GCST90032192,Aneurinibacillaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032192,35115689,"5,959 Finnish ancestry individuals"
GCST90032193,Aneurinibacillales abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032193,35115689,"5,959 Finnish ancestry individuals"
GCST90032194,AR31 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032194,35115689,"5,959 Finnish ancestry individuals"
GCST90032195,Atopobiaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032195,35115689,"5,959 Finnish ancestry individuals"
GCST90032196,Aureimonas abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032196,35115689,"5,959 Finnish ancestry individuals"
GCST90032197,Azorhizobium abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032197,35115689,"5,959 Finnish ancestry individuals"
GCST90032198,Bacillaceae A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032198,35115689,"5,959 Finnish ancestry individuals"
GCST90032199,Bacillales A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032199,35115689,"5,959 Finnish ancestry individuals"
GCST90032200,Bacilli A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032200,35115689,"5,959 Finnish ancestry individuals"
GCST90032201,Bacillus AY abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032201,35115689,"5,959 Finnish ancestry individuals"
GCST90032202,Bacillus C abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032202,35115689,"5,959 Finnish ancestry individuals"
GCST90032203,Bacillus abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032203,35115689,"5,959 Finnish ancestry individuals"
GCST90032204,Bacillus U abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032204,35115689,"5,959 Finnish ancestry individuals"
GCST90032205,Bacillus velezensis abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032205,35115689,"5,959 Finnish ancestry individuals"
GCST90032206,Bacteroides A plebeius A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032206,35115689,"5,959 Finnish ancestry individuals"
GCST90032207,Bacteroides A plebeius abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032207,35115689,"5,959 Finnish ancestry individuals"
GCST90032208,Bacteroides A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032208,35115689,"5,959 Finnish ancestry individuals"
GCST90032209,Bacteroides clarus abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032209,35115689,"5,959 Finnish ancestry individuals"
GCST90032210,Bacteroides eggerthii abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032210,35115689,"5,959 Finnish ancestry individuals"
GCST90032211,Bacteroides faecis abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032211,35115689,"5,959 Finnish ancestry individuals"
GCST90032212,Bacteroides intestinalis A abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032212,35115689,"5,959 Finnish ancestry individuals"
GCST90032213,Bacteroides sp002160055 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032213,35115689,"5,959 Finnish ancestry individuals"
GCST90032214,Bacteroides sp003545565 abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032214,35115689,"5,959 Finnish ancestry individuals"
GCST90032215,Bacteroides stercoris abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032215,35115689,"5,959 Finnish ancestry individuals"
GCST90032216,Bacteroides thetaiotaomicron abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032216,35115689,"5,959 Finnish ancestry individuals"
GCST90032217,Barnesiellaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032217,35115689,"5,959 Finnish ancestry individuals"
GCST90032218,Barnesiella abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032218,35115689,"5,959 Finnish ancestry individuals"
GCST90032219,Bifidobacteriaceae abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032219,35115689,"5,959 Finnish ancestry individuals"
GCST90032220,Bifidobacterium adolescentis abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032220,35115689,"5,959 Finnish ancestry individuals"
GCST90032221,Bifidobacterium angulatum abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032221,35115689,"5,959 Finnish ancestry individuals"
GCST90032222,Bifidobacterium bifidum abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032222,35115689,"5,959 Finnish ancestry individuals"
GCST90032223,Bifidobacterium breve abundance in stool,5959 European,http://ftp.ebi.ac.uk/pub/databases/gwas/summary_statistics/GCST90032001-GCST90033000/GCST90032223,35115689,"5,959 Finnish ancestry individuals"
