,protein_name
1,CRYBB2_CRBB2
2,RAF1_c_Raf
3,ZNF41_ZNF41
4,ELK1_ELK1
5,GUCA1A_GUC1A
6,OCRL_OCRL
7,SPDEF_SPDEF
8,SNAI2_SLUG
9,KCNAB2_KCAB2
10,POLH_POLH
11,VDR_VDR
12,HOGA1_HOGA1
13,MUTYH_MutY_homolog
14,DUSP4_DUS4
15,ZHX3_ZHX3
16,SIGLEC12_SIG12
17,TP63_P73L
18,HNF4A_HNF4A
19,SGK3_SGK3
20,BRD4_BRD4
21,WNT10A_WN10A
22,CUL3_CUL3
23,BIRC2_cIAP_1
24,NCF2_NCF_2
25,CBFB_PEBB
26,TERF1_TERF1
27,ILK_ILK1
28,GAN_GAN
29,FOXM1_FOXM1
30,RAD23A_RD23A
31,FANCL_FANCL
32,RBBP9_RBBP9
33,PLCG2_PLCG2
34,TDP1_TYDP1
35,BRD2_BRD2
36,ACBD6_ACBD6
37,AP4M1_AP4M1
38,BAG3_BAG3
39,EIF2B1_EI2BA
40,SATB2_SATB2
41,NEFL_NFL
42,STAR_STAR
43,CBS_CBS
44,CRYAA_Alpha_crystallin_A_chain
45,APRT_APT
46,ASMTL_ASML
47,STUB1_CHIP
48,ENO2_NSE
49,PIAS4_PIAS4
50,IL10RA_IL_10_Ra
51,STAT3_STAT3
52,JUN_c_Jun
53,OAS1_OAS1
54,MYC_c_Myc
55,SMAD3_SMAD3
56,SMAD2_SMAD2
57,PDGFRA_PDGFRA
58,STAT1_STAT1
59,STAT6_STAT6
60,ZNRF3_ZNRF3
61,ANGPTL3_ANGL3
62,MCL1_Mcl_1
63,STX12_STX12
64,SCARA5_SCAR5
65,NPDC1_NPDC1
66,B4GALT5_B4GT5
67,GOSR2_GOSR2
68,KIR2DS2_KI2S2
69,SLC3A2_4F2
70,KIAA1644_K1644
71,AGA_ASPG
72,CSF2RA_CSF2R
73,CLMP_ACAM
74,TMEM190_TM190
75,APOM_ApoM
76,PABPC3_PABP3
77,SHISA2_TMM46
78,NUCB1_NUCB1
79,CEACAM20_CEA20
80,DNAJC16_DJC16
81,IL31_IL_31
82,INSL5_INSL5
83,ANTXR1_ANTR1
84,MAGEA4_MAGE_4
85,RPN1_RPN1
86,CLCA1_CaCC
87,TMEM106A_T106A
88,PGRMC2_PGRC2
89,ACRV1_sperm_protein_10
90,SCIMP_SCIMP
91,COL6A3_Collagen_alpha_3_VI_
92,CSF2RB_IL3RB
93,KCNIP3_CSEN
94,PTGDS_PGD2_synthase
95,MXRA8_MXRA8
96,DHX9_DHX9
97,PSMB6_PSB6
98,NRAS_RASN
99,PARP1_PARP
100,COX6A2_CX6A2
101,CD99L2_C99L2
102,TSPEAR_TSEAR
103,BMPR1B_BMP_RIB
104,LAT_LAT
105,KLRC4_NKG2F
106,TOR1AIP2_TOIP2
107,GLB1_BGAL
108,TEX29_TEX29
109,PCDH9_PCDH9
110,ITM2C_ITM2C
111,PGLYRP3_PGRP_I_alpha
112,NETO2_NETO2
113,LYSMD3_LYSM3
114,SLITRK3_SLIK3
115,SCGB1A1_Urinary_protein_1
116,MGAT1_MGAT1
117,CST8_CST8
118,AXL_AXL
119,PUF60_PUF60
120,SFTA2_SFTA2
121,POMK_SG196
122,TMEM108_TM108
123,NDUFS4_NDUS4
124,ST3GAL5_SIAT9
125,RAET1L_RET1L
126,CLGN_CLGN
127,HTN3_HIS3
128,APMAP_APMAP
129,TOR1AIP1_TOIP1
130,HTN1_HIS1
131,PLOD3_PLOD3
132,CASC4_CASC4
133,MPZ_MYP0
134,PODXL2_PDXL2
135,LRP2_megalin
136,MSMB_PSP_94
137,PRR16_PRR16
138,MUC1_MUC1
139,SPINK13_ISK13
140,APLP2_APLP2
141,HTATIP2_HTAI2
142,KIAA1324_K1324
143,TINF2_TINF2
144,OLFM3_NOE3
145,ASCC1_ASCC1
146,INSIG1_INSI1
147,GNPTG_GNPTG
148,C1orf185_CA185
149,STX4_STX4
150,SFTPB_SP_B
151,TMX2_TMX2
152,NDUFB4_NDUB4
153,KLRG2_KLRG2
154,WFDC10B_WF10B
155,LRP1_LRP1
156,IGSF11_IGS11
157,COL28A1_COSA1
158,SUDS3_SDS3
159,LRMP_LRMP
160,ST6GALNAC3_SIA7C
161,GNRH2_GON2
162,ZPBP2_ZPBP2
163,CD300LB_CLM7
164,ACE_ACE
165,PSMD5_PSMD5
166,SYK_KSYK
167,HS3ST5_HS3S5
168,GAL3ST2_G3ST2
169,SERPINB1_Serpin_B1
170,PCDHB2_PCDB2
171,CDYL2_CDYL2
172,ADAM7_ADAM7
173,PROK2_Prokineticin_2
174,UCN3_UCN3
175,KERA_KERA
176,GRIA4_GRIA4
177,TMED2_TMED2
178,KLRG2_KLRG2
179,GPR64_GPR64
180,CSGALNACT2_CGAT2
181,CLEC4G_CLC4G
182,LRRC52_LRC52
183,CD300E_CLM2
184,SERPINH1_Collagen_binding_protein
185,KLRB1_KLRB1
186,CD1A_CD1A
187,HABP4_HABP4
188,PILRA_PILRA_isoform_FDF03_M14
189,TOMM20L_TO20L
190,SMPD1_ASM
191,VSIG10_VSI10
192,LINGO3_LIGO3
193,EFCAB14_K0494
194,B4GALT6_B4GT6
195,HHIP_HHIP
196,A4GNT_A4GCT
197,GCNT4_GCNT4
198,SIGLEC15_SIG15
199,BTNL3_BTNL3
200,EBI3_IL27B
201,HNRNPDL_HNRDL
202,SMEK1_P4R3A
203,BRAT1_BRAT1
204,FAM163B_F163B
205,DSC1_Desmocollin_1
206,C6orf89_CF089
207,MRAP2_MRAP2
208,LCTL_LCTL
209,OSMR_OSMR
210,TMPRSS11B_TM11B
211,STMN2_STMN2
212,ASPRV1_APRV1
213,STX8_STX8
214,NTM_NTRI
215,GALNT13_GLT13
216,CEACAM4_CEAM4
217,PLA2R1_PLA2R
218,GNGT2_GBGT2
219,CYB5D2_NEUFC
220,CALN1_CABP8
221,CD58_sLFA_3
222,PLEKHA4_PKHA4
223,SRL_SRCA
224,STX6_Syntaxin_6
225,PLD3_PLD3
226,RPLP2_RLA2
227,CLEC2A_CLC2A
228,CLEC10A_CLC10
229,GCSH_GCSH
230,BET1L_BET1L
231,RARRES3_TIG3
232,SPINK7_ISK7
233,MUCL1_MUCL1
234,UCMA_UCMA
235,GH2_SOM2
236,NRG3_NRG3
237,LRRK2_LRRK2
238,BGLAP_Osteocalcin
239,IL5_IL_5
240,CLC_LPPL
241,N6AMT1_HEMK2
242,PDXK_PDXK
243,TLR4_TLR4
244,REG4_REG4
245,HSPB1_HSP_27
246,CHI3L1_YKL_40
247,ENO1_Alpha_enolase
248,TENM3_TEN3
249,SVEP1_SVEP1
250,TMEM119_TM119
251,TMEM167A_KISHA
252,C11orf87_CK087
253,SPATA20_SPT20
254,RAB17_RAB17
255,NAT14_NAT14
256,SPG21_SPG21
257,TRIO_TRIO
258,TMEM132C_T132C
259,BMP15_BMP15
260,CACNB4_CACB4
261,MTRF1L_RF1ML
262,MRPL55_RM55
263,CSF2RB_IL3RB
264,RUNX3_RUNX3
265,COL1A1_CO1A1
266,ANGPTL1_ANGL1
267,OLFM3_NOE3
268,DEFB116_DB116
269,KIAA1549L_K154L
270,TBX22_TBX22
271,TREML1_TRML1
272,TLR1_TLR1
273,KLK13_kallikrein_13
274,NFE2L1_NF2L1
275,COL6A5_CO6A5
276,CCDC64_BICR1
277,RNF122_RN122
278,SPG20_SPG20
279,EQTN_EQTN
280,FAM162B_F162B
281,TENM2_TEN2
282,MTMR1_MTMR1
283,MEGF10_MEG10
284,FLNA_filamin_A
285,MILR1_MILR1
286,THSD7A_THS7A
287,LPCAT2_PCAT2
288,KRT5_K2C5
289,SVEP1_SVEP1
290,TSSK1B_TSSK1
291,SMARCC1_SMRC1
292,GCH1_GCH1
293,TMEM52_TMM52
294,CLEC12A_CL12A
295,YME1L1_YMEL1
296,TINAGL1_TINAL
297,HNF1A_HNF1A
298,SIT1_SIT1
299,COL6A3_Collagen_alpha_3_VI_
300,CREB3L1_CR3L1
301,PUS1_TRUA
302,TBX5_TBX5
303,CXADR_CXAR
304,ITGB7_Integrin_beta_7
305,MSR1_Macrophage_scavenger_receptor
306,NAGPA_NAGPA
307,TBCE_TBCE
308,TXNDC5_TXND5
309,DNAJB9_DNJB9
310,CDH15_CAD15
311,CTBP1_CTBP1
312,TPMT_TPMT
313,FGFBP3_FGFP3
314,C10orf105_CJ105
315,TMEM154_TM154
316,UBE3A_UBE3A
317,TBL2_TBL2
318,RIC3_RIC3
319,ERN1_ERN1
320,FDX1L_ADXL
321,PCOLCE_PCOC1
322,TMPRSS6_TMPS6
323,ASL_ARLY
324,TGM1_TGM1
325,ADGRF1_GPR110
326,NAGS_NAGS
327,UROS_HEM4
328,LRCH4_LRCH4
329,PAPLN_PPN
330,QDPR_DHPR
331,MADCAM1_MAdCAM_1
332,SUN5_SPA4L
333,TRABD_TRABD
334,CASQ1_CASQ1
335,XDH_XDH
336,ALDH1A1_Retinal_dehydrogenase_1
337,SELPLG_SELPL
338,CHCHD10_CHC10
339,GSTT2B_GSTT2
340,LRP1B_LRP1B
341,ATF6_ATF6A
342,COL11A2_COL11A2
343,GABBR1_GABR1
344,GAD1_DCE1
345,GRB7_GRB7
346,DCAF5_DCAF5
347,LAIR1_LAIR1
348,VIMP_SELS
349,CYB5A_Cytochrome_b5
350,NT5C2_5NTC
351,CSNK1D_KC1D
352,SCARA3_SCAR3
353,LRRN1_LRRN1
354,NOTCH2_NOTC2
355,SORT1_SORT
356,TNR_TENR
357,SAMHD1_SAMH1
358,WWP1_WWP1
359,CREB3L4_CR3L4
360,RAG1_RAG_1
361,PMS2_PMS2
362,PCBD1_PHS
363,PPM1D_PPM1D
364,MRE11A_MRE11
365,CHFR_CHFR
366,PXDNL_PXDNL
367,BTG2_BTG2
368,CLK2_CLK2
369,USB1_USB1
370,CSNK2B_CSK2B
371,ARHGAP25_RHG25
372,LILRB3_LIRB3
373,FANCF_FANCF
374,BLK_BLK
375,PLXDC2_PXDC2
376,TALDO1_Transaldolase
377,P4HA2_P4HA2
378,STUB1_CHIP
379,NHEJ1_NHEJ1
380,TTN_TITIN
381,PLCB1_Phospholipase_C_beta_1
382,EIF5A2_IF5A2
383,DGCR14_DGC14
384,GRB10_GRB10
385,RRM1_RRM1
386,TYMP_TP
387,AQP4_AQP4
388,MFN1_MFN1
389,TENM4_TEN4
390,AK2_KAD2
391,ADH5_ADHX
392,INPP5E_INP5E
393,GPR101_GP101
394,ZNF18_ZNF18
395,FOXL2_FOXL2
396,ADH7_ADH7
397,SYK_KSYK
398,RBM24_RBM24
399,PRPS1_PRPS1
400,BLVRA_BIEA
401,KRT7_Keratin_7
402,ATF6B_ATF6B
403,WFDC2_HE4
404,CA8_Carbonic_Anhydrase_VIII
405,MVK_MVK
406,PTK2B_FAK2
407,DNAI1_DNAI1
408,RNF146_RN146
409,KMT2C_KMT2C
410,CARD9_CARD9
411,ACAD8_ACAD8
412,PLSCR3_PLS3
413,FBXL4_FBXL4
414,EHD4_EHD4
415,DLX3_DLX3
416,FAH_FAAA
417,RUFY1_RUFY1
418,PDLIM1_PDLI1
419,HNRNPC_hnRNP_C1_C2
420,DTX1_DTX1
421,RECQL_RECQ1
422,PQBP1_PQBP1
423,TCTN2_TECT2
424,INA_AINX
425,DNAJB2_DNJB2
426,RHPN2_RHPN2
427,SOCS3_SOCS_3
428,PYGL_PYGL
429,DNER_DNER
430,POLR3F_RPC6
431,GALK1_GALK1
432,CAPZA1_CAZA1
433,EIF3G_EIF3G
434,MAGEB10_MAGBA
435,GALE_GALE
436,PCBP1_PCBP1
437,ELL_ELL
438,RBFOX2_RBM9
439,RELB_RELB
440,GPR135_GP135
441,RBM19_RBM19
442,VPS4A_VPS4A
443,ALDH3A1_Aldehyde_dehydrogenase__class_3
444,HAVCR2_TIMD3
445,ZNF174_ZN174
446,UBL4A_UBL4A
447,DYNLL2_DYL2
448,ELL2_ELL2
449,APOL1_Apo_L1
450,CD38_CD38
451,CD59_CD59
452,FABP1_FABPL
453,HMBS_HEM3
